index,RDm1
x_s,0.3764452507184869
time_s,0.3764452506461493
Temp,-0.8125678437546184
X1,-0.9942259338637082
X2,0.7154814501826026
X3,0.8680372845690704
X4,0.82293642398754
X5,0.7487688939755552
X6,0.6697125594251514
X7,0.593590790125555
X8,0.5237480048763803
X9,0.46142352320005503
X10,0.4067124606881746
X11,0.35912457470179726
X12,0.31792025901176685
X13,0.28229907581588204
X14,0.25149544618155845
X15,0.22482037091252674
X16,0.20167408059720565
X17,0.18154429971746927
X18,0.16399820257648265
X19,0.14867237308271866
X20,0.1352627191715059
X21,0.12351533104042835
X22,0.11321860298803045
X23,0.10419655103382745
X24,0.09630339833259943
X25,0.08941918519290001
X26,0.08344639099514535
X27,0.07830749162879677
X28,0.07394346481923784
X29,0.07031333668993552
X30,0.06739495686814873
X31,0.06518734378257535
X32,0.06371515229962088
X33,0.06303619328278616
X34,0.06325352252676877
X35,0.06453468082378647
X36,0.06714254349195103
X37,0.07148567034075876
X38,0.07820247548631067
X39,0.08830581424252099
X40,0.10343803448564315
X41,0.1263290932982728
X42,0.16160843948179276
X43,0.21706742379567648
X44,0.30437843163035994
X45,0.4320626473615152
X46,0.5733629367271796
X47,0.6545915789628544
X48,0.6545442978629569
rho,0.7891550395452333
v,-0.8494807503338678
p,0.8494806256122973
RDm1,1.0
